Image_name,Paragraph,train,test,val
p_11,"This image portrays a tranquil temple complex in Nepal. The foreground is dominated by a series of small white stupas, each topped with a golden finial. Beyond the stupas, a golden temple with a blue roof emerges. The temple complex is nestled within a bustling town, which have buildings with red roofs.",TRUE,FALSE,FALSE
p_12,This image is an aerial view of a temple complex in Nepal. The complex consists of multiple buildings and shrines. The buildings are colored red and white and have golden roofs. The shrines are white and have golden spires. The complex is surrounded by trees and hills. The sky in the image is blue and clear.,TRUE,FALSE,FALSE
p_13,"The image features a temple with a Shiva Lingam in the foreground. The Shiva Lingam is a red stone with a pointed top and is adorned with orange and yellow flowers. It is placed on a stone platform that has a spout on the side. In the background, there is a shrine that houses a statue of a deity. The shrine is constructed from white stone and features intricate carvings. Additionally, there is a stone archway with carvings in the background. ",TRUE,FALSE,FALSE
p_14,"The Complex temple in nepal which include buildings and structures. The main temple is built in a traditional Nepali style, featuring a pagoda roof which have red-walled and wall is surrounded by flowers. People are walking around the temple stairs whereas temple is surrounded by trees and vegetation. The sky is clear and blue.",TRUE,FALSE,FALSE
p_15,"The Pashupatinath temple complex is surrounded by several buildings, each featuring red roofs and white walls. The main temple, distinguished by its pagoda-style golden roof, is accessed via a stone staircase. People can be seen ascending these stairs towards the temple’s main gate. In the foreground, a monkey is perched on a wall, observing the scene. The sky above is cloudy.”",TRUE,FALSE,FALSE
p_16,"Three small, dome-shaped pagodas, covered with green grass, stand in a row. To the right, a building colored red and white is situated. In front of the pagodas, a street bustles with people walking. The sky overhead is cloudy and overcast. Behind the pagodas, a small tree stands.",TRUE,FALSE,FALSE
p_17,"Pashupatinath temple in Nepal situated on a river bank. The temple is designed in a pagoda style, a common architectural style in Nepal. People are gathered around the temple, indicating some form of activity or event. In the background, power lines and buildings can be seen, suggesting that the temple is located in a populated area. The sky in the image is blue with clouds scattered across it. ",TRUE,FALSE,FALSE
p_18,"Temple complex located at Pashupatinath with multiple shrines and structures. These structures are made of stone and exhibit intricate carvings. The structures are pyramid-like in shape, each culminating in a pointed top. Each structure is adorned with a flag at its peak. ",TRUE,FALSE,FALSE
p_19,"The image features a construction site located near a temple. The construction site, which is in the foreground, has multiple levels and is covered in green netting. In the background, a temple with multiple domes and spires can be seen. A dirty river with trash floating in it is also visible in the foreground. The sky is colored orange and pink indicating sunset.",TRUE,FALSE,FALSE
p_20,"A stone statue of a deity, characterized by multiple arms and a headdress, situated in front of a temple in Nepal. The temple, which serves as the backdrop for the statue, has a red brick facade and a pointed roof, with a flag flying atop it. Surrounding the statue are smaller stone structures, adding to the spiritual ambiance of the scene. ",TRUE,FALSE,FALSE
p_21,"A bustling market in a city near the Pashupatinath temple. The market is situated in a square, surrounded by multi-story buildings constructed from red brick. The market features numerous stalls, each displaying a variety of colorful items for sale. People can be seen walking around the market, adding to the lively atmosphere. The sky in the image is blue, suggesting a sunny day. ",TRUE,FALSE,FALSE
p_22,"A temple complex with multiple buildings, designed in traditional Nepali architecture, characterized by tiered roofs and ornate decorations. A river runs through the complex, its banks lined with stone walls. People can be seen walking on the Bridge, The sky in the image is blue, suggesting a clear day.",TRUE,FALSE,FALSE
p_23,"The image presents a temple complex featuring multiple white structures. These structures are adorned with ornate decorations and are topped with statues. The structures vary in size and shape, A few people can be seen in standing on staircase. In the foreground, colorful clothes are hanging on a line.",TRUE,FALSE,FALSE
p_24,"The complex comprises multiple buildings and structures, designed in traditional Nepali architecture. These buildings feature red and white walls, along with golden roofs. The main building is a two-story structure, distinguished by a golden roof and a balcony on the second floor. Scattered around the complex are smaller structures, each topped with a golden roof. People can be seen walking around the complex. ",TRUE,FALSE,FALSE
p_25,"A temple complex with multiple buildings and structures. These buildings are white, adorned with red and gold accents. The sky in the image is blue, scattered with a few clouds. The temple complex is nestled among trees, suggesting a serene environment. The complex appears to be situated on a hill, providing a vantage point for the structures.",TRUE,FALSE,FALSE
p_26,"The complex comprises multiple buildings and structures, designed in traditional Nepali architecture, characterized by pagoda-style roofs. The buildings are painted in white and red colors.People are sitting under the temple roof. The temple complex is enclosed by a stone wall, with a gate providing access. In the foreground, a river is visible, over which a red-walled bridge is located.",TRUE,FALSE,FALSE
p_27,"The complex comprises multiple buildings, designed in traditional Nepali architecture amidst trees and hills. A man is sitting on the steps of the buildings, others walking around the complex. Interestingly, cows are also present in the image, wandering around the temple complex. The photograph was taken during the day, under clear blue skies.",TRUE,FALSE,FALSE
p_28,"A  temple courtyard paved with stone and adorned with several pillars. In the center of the courtyard, there is a large golden statue of a bull.A woman wearing red cloth is walking around the courtyard and so others. The temple buildings, visible in the background, are yellow in color with red and gold accents.Flags and banners hang from the temple buildings.Pigeons can be seen on the ground in the courtyard.",TRUE,FALSE,FALSE
p_29,"Aerial view of a temple complex which have multiple buildings and structures. The main temple, distinguished by its golden roof and tall spire, is white in color with red accents. The complex also includes multiple smaller shrines and structures, adding to the diversity of the scene. The temple is nestled amidst trees and other buildings.",TRUE,FALSE,FALSE
p_30,"Temple complex surrounded by trees where people are walking infornt of pashupatinath gate. The complex comprises multiple buildings, designed in traditional architecture. The sky is cloudy.The complex is well-lit with street lamps, adding to the ambiance. The ground within the complex is paved with tiles. ",TRUE,FALSE,FALSE
p_31,This is an image of a temple with a golden roof and a tree in the background. The temple is in a hilly area and there is a person in red sitting nearby. The temple has a white base and a golden roof. The temple is surrounded by smaller white structures,TRUE,FALSE,FALSE
p_32,"The city has a mix of traditional and modern buildings. Some of the buildings are red and white, while others are gray and brown. There are several temples with golden roofs in the city. The temples are surrounded by white walls and have pointed roofs. There are also many trees in the city. The trees are green and provide contrast to the buildings. The sky is blue and hazy.",TRUE,FALSE,FALSE
p_33,"The temple has a golden roof that stands out from the rest of the buildings and has a spire on top of its roof. The temple is surrounded by a white wall and has a gate in front of it.The buildings are mostly red and white, and have different shapes and sizes. The mountains are green and brown, and have snow on their peaks. The sky is cloudy and gray",TRUE,FALSE,FALSE
p_34,The temple complex has multiple buildings and structures that are mostly white with red and gold accents and also have spire on the top of its roof. It is surrounded by trees and other vegetation. The sky is blue and there are mountains in the background.,TRUE,FALSE,FALSE
p_35,"A river is flowing between the two temple complexes, and a bridge is located above the river. The temples have mostly golden roofs and spikes on their roofs. There is a small white pagoda-style dome-shaped building. The temple complex is surrounded by trees and mountains. Smoke is coming from the bank of the river.",TRUE,FALSE,FALSE
p_36,This is an image of a temple and a red building in Nepal. The temple is white and has a dome on top. The red building is two stories and has a yellow sign on it. The sky is blue and there are clouds indicate sunny day.There is a brick wall in the foreground.,TRUE,FALSE,FALSE
p_37,"This is an image of a temple complex at night, has multiple buildings and structures that are of different sizes and styles which  lit up with lights. There are people gathered around the temple complex, some of them wearing traditional clothes and some of them holding candles. There are flags and banners hanging from the buildings, some of them with religious symbols and some of them with messages. There is a stage with red carpet in the foreground, where a ceremony or a performance might be taking place. There are electrical wires and poles visible in the photo, which show the modernization of the city.",TRUE,FALSE,FALSE
p_38,"The temple complex has white stupas with gold spires which are dome-shaped structures that are used for meditation and worship.It also has prayer flags in blue, yellow, and red. The city has many buildings and houses that are of different colors and shapes. The sky is blue with white clouds. There are people walking on river bank. The temple complex has stone steps and a stone path that lead to the stupas.",TRUE,FALSE,FALSE
p_39,A temple complex with multiple buildings and a river in the foreground which has red buildings with traditional Nepali architecture. The buildings have pointed roofs and carved windows. The river is in the foreground and appears to be shallow with rocks and boulders visible. The temple complex is surrounded by trees and hills. There is smoke rising from one of the buildings.,TRUE,FALSE,FALSE
p_40,A aerial view of temple complex has golden roof and gold spires surrounded by multiple buildings and courtyards. The buildings are of different sizes and shapes which have red roofs and white walls. The courtyards have trees and shrubs.,TRUE,FALSE,FALSE
p_41,"This is an image of a temple with a golden statue in the foreground. The temple has a multi-tiered roof with a spire on top. The statue is of a round, golden figure with a pointed hat. People are walking around the temple and statue. The sky is blue and there are trees in the background. The image is clear and has a lot of details and colors.",TRUE,FALSE,FALSE
p_42,"People are sitting on benches and looking at the temple complex. The complex has two stories that are of different sizes and styles, mostly with red roofs and golden spires on top. The complex is surrounded by trees and mountains.",TRUE,FALSE,FALSE
p_43,This is an image of a temple with a golden roof and colorful decorations. The temple has a golden roof with a sun emblem on top. The temple has colorful decorations on the walls and pillars. The temple is surrounded by other buildings and a street with people walking by. There is a lamp post in the foreground with a bird perched on top. The sky is blue with some clouds.,TRUE,FALSE,FALSE
p_44,"A temple complex with a river in the foreground and palm trees in the background which  is red in color with white domes. The river is in the foreground and is lined with concrete steps.The sky is blue with white clouds.The image shows the cultural and natural diversity of Nepal, as well as its architectural beauty",TRUE,FALSE,FALSE
p_45,A temple complex with multiple shrines and trees. The temple complex has stone shrines with pointed roofs. The shrines are of different sizes and shapes.The trees are leafless and appear to be old.There are people visible in the image walikg around the stones. The background consists of a red building and a hazy sky.,TRUE,FALSE,FALSE
p_46,This is an image of a temple complex with a pond in the foreground and a temple in the background. The temple complex is white in color with a yellow dome and a red flag. The temple complex has multiple levels and is built on a hill. The foreground consists of a pond with people walking around it. The background consists of a temple with a yellow dome and a red flag. The background also consists of trees and other buildings.,TRUE,FALSE,FALSE
p_47,"A temple complex in a city with buildings and trees in the background which has multiple buildings with traditional architecture and golden roofs, multiple white structures with domed roofs. The temple complex has multiple statues and shrines. The sky is blue and there is a tree in the background with a large plume of smoke.",TRUE,FALSE,FALSE
p_48,The temple is located in a hilly area with trees in the background. The temple has a small entrance with a white dome above it. The temple has three arched windows on the front side. The temple has a larger dome on the top with a flag on the top. The sky is cloudy and it appears to be raining.,TRUE,FALSE,FALSE
p_49,This is an image of a temple with intricate wood carvings on the roof and walls. The temple is made of red brick and has a black roof. The roof has a gold plaque on it. The walls have wood carvings of deities.The temple has three doors with wood carvings on them. The temple is on a raised platform with steps leading up to it,TRUE,FALSE,FALSE
p_50, A pagoda roof  temple has a green roof with gold accents. The temple is surrounded by a white wall with a red roof. The temple is located on a busy street with people walking by. The background consists of a blue sky with clouds. The temple is located in a city with buildings in the background. ,TRUE,FALSE,FALSE
p_51,"A temple complex with multiple buildings and structures. The main building is a two-story temple with a golden roof and red and white walls. There are smaller structures in front of the main temple, including a shrine and a flagpole with a yellow flag. The temple complex is surrounded by a courtyard with stone pavement. The sky is blue indicates sunny day.",TRUE,FALSE,FALSE
p_52,street inside the pashupatinath area  with an archway and buildings on either side. The street is paved with bricks and has a yellow archway. There are buildings on either side of the street. The buildings are made of brick and have balconies. There are street lamps and a blue sky in the background. There are people walking on the street.,TRUE,FALSE,FALSE
p_53," An ancient stone archway with intricate carvings. The archway is made of stone and has a weathered appearance. The archway is decorated with carvings of faces, animals, and other designs. The archway leads to a dark passageway. The photo is taken from a low angle, looking up at the archway.",TRUE,FALSE,FALSE
p_54,"a temple complex in pasupatinath, located at kathmandu. The temple complex consists of several buildings with golden roofs and dome shaped white stupas. The temple complex is surrounded by green trees and has a serene atmosphere.",TRUE,FALSE,FALSE
p_55,The temple is a religious site for Hinduism. The temple has a pagoda style architecture with two floors. The roof of the temple is red and the walls are white which has gold decorations on the roof and the windows.The temple is also surrounded by trees and other buildings. The temple has colorful prayer flags hanging from the roof and the trees. ,TRUE,FALSE,FALSE
p_56,The image features a series of ancient stone temples. These temples are adorned with intricate carvings. Each temple has a domed roof. The temples are situated amidst lush greenery. The sky above the temples is filled with clouds,TRUE,FALSE,FALSE
p_57,image of a row of ancient stone temples. The temples are made of stone and have intricate carvings and domed roofs. The temples are part of a historical site that showcases the art and architecture of Nepal. The temples are surrounded by greenery and a cloudy sky,TRUE,FALSE,FALSE
p_58,"The temple complex has multiple structures made of stone. The structures have traditional Nepali architecture, such as pagodas, gopuras, and chaityas. The temple is surrounded by trees, which provide shade and greenery. There are clothes hanging on a line in the foreground, which indicate that people live near the temple. There are people visible in the image, some of them wearing colorful clothes and carrying baskets",TRUE,FALSE,FALSE
p_59,temple complex with multiple shrines and structures. The temple complex is located in a sunny and warm climate. The structures are made of stone and have intricate carvings on them. There is a flagpole with a yellow flag in the background of the image. The sky is blue and there are trees in the background as well,TRUE,FALSE,FALSE
p_60,"image of three statues in a temple. The statues are of Hindu deities and are worshipped by the devotees. The statues are covered in red and orange powder and flower petals, which are offerings made by the devotees. The statues are in a small alcove in a temple wall, which is made of stone and has intricate carvings on it. The statues are in a row, with the central statue being the largest and the most prominen",TRUE,FALSE,FALSE
p_61,"The temple complex is made up of multiple buildings and structures, including a pagoda and a shrine. The buildings are decorated with colorful flags and banners. There are many people visiting the temple complex, some of them wearing traditional Nepali clothing and carrying offerings. The sky is blue and the trees are green, creating a contrast with the buildings. The temple complex is built on a hill, which gives it a commanding view of the surroundings",TRUE,FALSE,FALSE
p_62,"The temple is a two-story pagoda style with a red roof and gold accents. People are gathered around the temple, some are praying and some are walking around. The temple is surrounded by other buildings and there are power lines in the background",TRUE,FALSE,FALSE
p_63,The temple is made of red bricks and has a small shrine in front.Statue made up of stone has red color on surface.People are walking around the temple and there are shops in the background. The sky is blue and the weather appears to be clear. The temple is surrounded by a fence and there are flags hanging from the top.,TRUE,FALSE,FALSE
p_64,temple complex with multiple buildings and structures which  is taken from a high vantage point and shows the temple complex and the surrounding area. The temple complex is surrounded by trees and greenery. The buildings in the temple complex are white in color with golden domes. There is a river running through the temple complex. The sky is blue and there are clouds in the background.,TRUE,FALSE,FALSE
p_65,"The temple in the center of the image has a pagoda roof and is made of wood and brick. To the right of the temple is a smaller temple with a dome roof. There are people walking around the complex. In the foreground, there is scaffolding. The sky is blue and clear",TRUE,FALSE,FALSE
p_66,The temple complex is a religious site for Hinduism. The buildings have red roofs and there are trees in the background. The sky is hazy and the air is polluted. People are walking around the complex and visiting the shrines.,TRUE,FALSE,FALSE
p_67,The temple complex consists of a temple with a white dome and a smaller temple with a red roof made up of stone also has spires on top. There are people walking around the complex. The foreground consists of a brick-paved courtyard. The background consists of a blue sky.,TRUE,FALSE,FALSE
p_68,Image of a temple surrounded by buildings.Gate made of stone decorated by craving stone has white pillar. There are people and a dog walking on the street. The sky is hazy and there is a bird flying in the background.,TRUE,FALSE,FALSE
p_69,"This is an image of a temple entrance at night. The temple is called Pasupatinath.The temple has a yellow and black facade, which contrasts with the dark sky. The entrance is flanked by two pillars with statues of deities on them. The statues are of Lord Ganesha, the elephant-headed god of wisdom and success, and Lord Hanuman, the monkey-headed god of strength and devotion. Above the entrance is a large mural depicting Lord Vithalnath, who is shown with four arms and a flute. The temple is lit up at night, creating a bright and festive atmosphere.",TRUE,FALSE,FALSE
p_70,Temple complex with multiple white structures and flags. The structures are white with gold accents and have pointed roofs. The flags are yellow and blue and are attached to poles. The sky is blue with white clouds. There are people walking around the complex. The complex is surrounded by trees and buildings,TRUE,FALSE,FALSE
p_71,Image of a temple with a pagoda style roof. The temple has a red roof and is decorated with flags and statues. The temple is surrounded by people and other buildings.The temple has a lot of statues and have decorations on it.,TRUE,FALSE,FALSE
p_72,"image of a tall statue of a deity with multiple arms. The statue is located in a park with trees in the background. The statue is made of a dark material and is standing on a golden temple. The temple has intricate designs and patterns on it. There are people standing in front of the temple, looking at the statue of Lord Shiva.",TRUE,FALSE,FALSE
p_73,"Image of two temple spires on a roof. The spires are white with gold accents and have intricate designs. The spires are surrounded by smaller statues, which are also white and gold. The background is a clear blue sky, which creates a contrast with the spires and the statues.",TRUE,FALSE,FALSE
p_74,temple complex at night which is lit up and there is smoke rising from a fire. A large crowd of people is gathered around the fire. The temple is reflected in the water in the foreground. The temple has multiple domes and is surrounded by scaffolding. The sky is dark indicate night.,TRUE,FALSE,FALSE
p_75,"temple complex with a pond in the center. which is a religious site for Hinduism . The pond is surrounded by stone steps, which are used for ritual bathing and offering. There are people walking around the complex, some of them wearing traditional clothes. There is a building on the left side of the image. There is a bridge over the pond, which connects the temple complex to the other side of the road.the sky is clear indicate sunny day",TRUE,FALSE,FALSE
p_76,"The temple complex is surrounded by a river, which reflects the buildings and the sky. There are people walking around the complex, some of them carrying umbrellas. The temple complex is made up of multiple buildings, which have white walls and golden roofs. There is smoke rising from the complex, which indicates that there is some ritual or ceremony going on",TRUE,FALSE,FALSE
p_77,Image of a temple complex with multiple white structures. The temple is surrounded by trees. There is a bridge over a river in the foreground. People are walking around the complex. The sky is blue and the weather appears to be clear.,TRUE,FALSE,FALSE
p_78,Temple complex with multiple white domes and a stone building which complex is a religious site for Hinduism. The domes are white and have gold accents. The building is made of stone and has intricate carvings. People are walking around and sitting on the steps. The sky is blue and there are trees in the background,TRUE,FALSE,FALSE
p_79,Pashupatinath Temple complex located at Kathmandu which shows multiple temples and buildings with people walking around. The image is from a high vantage point. The temples have traditional Nepali architecture with tiered roofs and ornate decorations. The buildings are white with red and gold accents.,TRUE,FALSE,FALSE
p_80,The image shows multiple temples with smoke rising from them. The temples are made of stone and have pointed roofs. The background shows a hazy sky and buildings in the distance. The image is taken from a high vantage point.,TRUE,FALSE,FALSE
p_81,"Image of a tree with a large trunk and bare branches in a temple complex. The tree is a pipal tree. The tree is surrounded by small white temples and buildings with red roofs. The temples and buildings are part of a historical site that showcases the art and culture of Nepal. People can be seen walking around the complex, some of them wearing traditional clothes.",TRUE,FALSE,FALSE
p_82,The photo shows a group of people walking through the complex. There are several small temples and shrines in the background.Sky is clear indicating day time. The temple complex is surrounded by trees known as piple tree and vegetation.,TRUE,FALSE,FALSE
p_83,A temple complex with multiple buildings and a pond. The buildings have traditional architecture with ornate details and colorful decorations. People can be seen walking around the complex and performing religious rituals. The temple complex is surrounded by trees and vegetation. The sky is blue and clear.,TRUE,FALSE,FALSE
p_84,a temple complex with a pond in the foreground and buildings in the background.The temple has a pagoda style roof and is surrounded by other buildings. There are power lines and a blue sky in the background. The pond is in the foreground and is surrounded by a brick wall. The buildings in the background are red and white in color. There is a bridge over the pond in the foreground.,TRUE,FALSE,FALSE
p_85,A temple with a golden roof and a white entrance.The sky is cloudy and the temple is surrounded by trees. The temple has a large golden roof with a smaller golden roof on top. The entrance to the temple is white and has a blue archway. The temple is surrounded by trees and other greenery.,TRUE,FALSE,FALSE
p_86,It is a busy scene with people walking around and a temple in the background. The temple has a golden roof and is surrounded by trees. There are power lines running above the temple. The temple is in the background and there are people walking around in the foreground. The people are wearing traditional Nepali clothing.,TRUE,FALSE,FALSE
p_87,"The temple is white with a red roof and is surrounded by other buildings. The temple is a religious site for Hinduism and Buddhism. The temple has a pagoda style architecture and is decorated with flags and banners. There are people walking around the temple, some of them wearing traditional clothes. The sky is blue and the weather is sunny.",TRUE,FALSE,FALSE
p_88,photo of a temple and a bridge over a river. The temple has a golden roof and the bridge is made of stone. The river is filled with garbage and there are birds flying over it. The temple and bridge are reflected in the water. The background consists of a blue sky and trees. The image shows the contrast between the beauty of the temple and the bridge and the pollution of the river,TRUE,FALSE,FALSE
p_89,The temple buildings are white with golden roofs. There is a river running through the complex. People can be seen walking around. The complex is surrounded by greenery and mountains.,TRUE,FALSE,FALSE
p_90,a tree-lined staircase at night. The staircase leads down to a cityscape with buildings and lights. The sky is dark and the trees are lit up with orange light. The trees have twisted trunks and are bare of leaves. The staircase has a white railing and is made of stone. The buildings in the background are white and have domed roofs.,TRUE,FALSE,FALSE
p_91,a temple complex with people gathered around a river. The temple has white domes and a red flag flying above it. The river is filled with trash and debris. The sky is blue and the buildings are old and weathered. The people are gathered on the steps leading down to the river.,TRUE,FALSE,FALSE
p_92,mage of a temple complex with people gathered around it. The temple is made of stone and has multiple levels. There are stairs leading down to a body of water where people are gathered. The temple is surrounded by white buildings with red roofs. There are people gathered around the temple and on the stairs.,TRUE,FALSE,FALSE
p_93,The temple is made of brick and stone and has a pagoda style architecture. The temple is a religious site for Hinduism and is located in Kathmandu. There are stairs leading down to a river where people are performing rituals. The river is called the Bagmati River. The sky is blue and there are trees in the background. There are people wearing traditional clothes walking around the temple and performing rituals,TRUE,FALSE,FALSE
p_94,The complex consists of several buildings with traditional Nepali architecture. The buildings are white and red in color with gold accents. The photo was taken from a distance and there are trees and a field in the foreground. There are a few cows and a dog visible in the foreground. The sky is hazy and there are birds flying in the background.,TRUE,FALSE,FALSE
p_95,"Temple complex with multiple buildings with trees in the background. The sky is cloudy and there is smoke rising from one of the buildings. There are people visible in the photo, some are walking and some are standing. The buildings are traditional in style with sloping roofs and flags on top. The ground is made of stone and there are steps leading up to the buildings.",TRUE,FALSE,FALSE
p_96,Temple complex with multiple shrines and structures. The temple complex is a historical site that showcases the art and culture of Nepal.The shrines and structures are made of stone and brick and are in various states of disrepair. Some of them have been damaged by earthquakes and other natural disasters. The sky is blue and there are trees in the background.,TRUE,FALSE,FALSE
p_97,The temple is built on a hill and has multiple levels with stairs leading up to the shrines. The shrines are white in color with orange flags on top. People can be seen performing religious rituals in the river. The river is in the foreground and is lined with stone steps. The background consists of trees and a clear sky.,TRUE,FALSE,FALSE
p_98,an ancient stone temple entrance. The entrance is made of large stone blocks. The entrance has a wooden door with a metal lattice. The walls have Bengali script written on them. The temple is in a state of disrepair with some of the stone blocks crumbling.,TRUE,FALSE,FALSE
p_99,The complex is made up of multiple buildings and structures. The temple has a golden roof and a large staircase leading down to a body of water. People can be seen walking around the complex and on the stairs. The buildings are red and white in color. The sky is blue and the trees are green.,TRUE,FALSE,FALSE
p_100,temple complex with several stone structures. The structures are made of stone and are weathered. The bell is hanging from a wooden frame. The background is a tree and a temple.,TRUE,FALSE,FALSE
p_101,a red brick base and white stone steps. The temple is surrounded by a wall with white stone steps. The temple is located in a busy area with people and other buildings in the background. The temple has a unique architectural design with curved white stone steps leading up to it. The temple appears to be in a state of disrepair with some of the white stone steps broken or missing.,TRUE,FALSE,FALSE
p_102,multiple temples and shrines with smoke rising from them. The smoke is from the incense and candles. The temples and shrines are made of stone and have intricate carvings on them.the sky is orange because of the dust and pollution in the air indicating setting sun.,TRUE,FALSE,FALSE
p_103,The complex has multiple buildings with traditional Nepali architecture. The buildings are white with red and gold accents. There are people walking around the complex and trees in the background.,TRUE,FALSE,FALSE
p_104,Two children sitting on a wall overlooking a temple complex. The children are wearing red and beige clothes and are carrying bags. The temple complex is visible in the background with many buildings and people.The image has a vintage feel with a faded color palette.,TRUE,FALSE,FALSE
p_105,This is an image of a temple complex with multiple shrines and structures. The temple complex is a religious site for Hinduism and Buddhism. The structures are made of stone and have intricate carvings. The temple complex is surrounded by trees and there is a clear blue sky in the background.,TRUE,FALSE,FALSE
p_106,The temple complex consists of several buildings with traditional Nepali architecture. The buildings are white with red and gold accents. There are people walking around the complex and trees in the background.,TRUE,FALSE,FALSE
p_107,A complex temple has a golden roof and is surrounded by other buildings. There are people walking around the temple. The sky is cloudy. The temple is located on a hill and there are trees in the background.,TRUE,FALSE,FALSE
p_108,Temple complex with a large tree and several red brick structures. The structures are made of red brick and have ornate details.The structures are surrounded by brick pathways and walls. There is a large tree also known as a pipal tree in the foreground with bare branches. The sky is blue and the trees in the background are green,TRUE,FALSE,FALSE
p_109,Photo realistic image of a temple complex in Nepal. The temple complex consists of several buildings with traditional Nepali architecture. The buildings are white with red and gold accents. There are people walking around the complex and trees in the background.,TRUE,FALSE,FALSE
p_110,"temple complex in Nepal that has several structures with traditional Nepali architecture. The main temple is the largest and most prominent structure in the complex, and it has a tiered roof with multiple levels and a golden spire on top. The temple is surrounded by smaller shrines that have similar roofs and are decorated with flags and statues. The sky is clear and the sun is shining",TRUE,FALSE,FALSE
p_111,The temple complex ( Pashupatinath Temple) is located on the banks of a river(Bagmati). The temple complex is made up of several buildings and structures which are white in color with red and gold accents made of stone and have intricate carvings. The river is lined with stone steps and there are people walking along the steps. There is a blue sky in the background.,TRUE,FALSE,FALSE
p_112,"The image shows a group of people walking on a bridge over a river that flows near the temple complex. The bridge is made of metal and has railings on both sides. The river is polluted with debris and trash. The temple complex consists of several buildings with traditional Nepali architecture. The buildings have sloping roofs, carved windows, and colorful flags. The temple complex is surrounded by hills and trees. The image was taken during the day and the sky is clear.",TRUE,FALSE,FALSE
p_113,"A  temple is the largest and most prominent structure in the complex, and it has a tiered roof with multiple levels and a golden spire on top. The temple is surrounded by smaller shrines that have similar roofs and are decorated with flags and statues.The sky is clear and the sun is shining, creating a warm glow on the temple complex.",TRUE,FALSE,FALSE
p_114,The image shows the entire temple complex from a high angle. The temple complex has a traditional architecture with sloping roofs and ornate details. The temple complex is surrounded by a wall and there are people visible in the image. One of the buildings in the temple complex is emitting smoke. The background of the image consists of hills and trees.,TRUE,FALSE,FALSE
p_115,"a scene of a temple and a bridge in Nepal. The temple is a large structure with a red roof and a golden spire. The temple is surrounded by trees and smoke, which may indicate a ritual or a fire. The bridge is a stone bridge that crosses a river. The bridge has a railing and people are standing on it. A flock of birds is flying in the sky above the temple and the bridge",TRUE,FALSE,FALSE
p_116,A stone sculpture of a deity with multiple arms and heads. The sculpture is decorated with yellow flowers. The sculpture is set against a red brick wall. The sculpture appears to be in a temple or other religious setting. The sculpture is intricately carved with details on the clothing and jewelry.,TRUE,FALSE,FALSE
p_117,"Three people standing near a temple. The temple has a dome and a spire. The people are wearing traditional clothing. They are standing near a lamp post. The background consists of trees and buildings. The image is taken from a low angle, looking up at the temple and the people. The image has a warm tone, with yellow and orange colors. The image is clear and sharp, with no blurring or noise.",TRUE,FALSE,FALSE
