छवि_नाम, अनुच्छेद, ट्रेन, परीक्षण, val,,,,,,,,,
 p_11,"यो तस्विरले नेपालको शान्त मन्दिर परिसर चित्रण गर्दछ। अग्रभूमिमा साना सेतो स्तूपहरूको शृङ्खलाले प्रभुत्व जमाएको छ, प्रत्येकको शीर्षमा सुनको फाइनल छ। स्तूपको छेउमा निलो छाना भएको सुनौलो मन्दिर देखिन्छ। मन्दिर परिसर एक हलचल शहर भित्र बसेको छ, जसमा रातो छाना भएका भवनहरू छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_12, यो तस्बिर नेपालको एउटा मन्दिर परिसरको हवाई दृश्य हो। कम्प्लेक्समा धेरै भवनहरू र मन्दिरहरू छन्। भवनहरू रातो र सेतो रंगका छन् र सुनको छाना छन्। तीर्थहरू सेतो र सुनको स्पाइरहरू छन्। कम्प्लेक्स रुख र पहाडले घेरिएको छ। छविमा आकाश निलो र सफा छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_13,"छविमा अग्रभूमिमा शिव लिङ्गम भएको मन्दिर रहेको छ। शिवलिंगम रातो ढुङ्गा हो जसको टुप्पो छ र सुन्तला र पहेँलो फूलले सजिएको छ। यो एउटा ढुङ्गाको मञ्चमा राखिएको छ जसको छेउमा टुक्रा छ। पृष्ठभूमिमा, त्यहाँ एक देवताको मूर्ति राखिएको मन्दिर छ। मन्दिर सेतो ढुङ्गाबाट बनेको छ र यसमा जटिल नक्काशीहरू छन्। थप रूपमा, त्यहाँ पृष्ठभूमिमा नक्काशीको साथ ढुङ्गाको आर्चवे छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_14," नेपालको कम्प्लेक्स मन्दिर जसमा भवन र संरचनाहरू छन्। मुख्य मन्दिर परम्परागत नेपाली शैलीमा बनेको छ, जसमा रातो पर्खाल र पर्खाल फूलहरूले घेरिएको प्यागोडाको छाना रहेको छ। मानिसहरु मन्दिरको सिँढीमा घुमिरहेका छन् भने मन्दिर वरिपरि रूख र वनस्पतिले घेरिएको छ । आकाश सफा र निलो छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_15,"पशुपतिनाथ मन्दिर परिसर धेरै भवनहरूले घेरिएको छ, प्रत्येकमा रातो छाना र सेतो पर्खालहरू छन्। मुख्य मन्दिर, यसको प्यागोडा-शैली सुनौलो छानाद्वारा प्रतिष्ठित, ढुङ्गाको सिँढीबाट पहुँच गरिन्छ। मानिसहरु मन्दिरको मुख्य ढोका तर्फ यी सिँढीहरु उकालो देख्न सकिन्छ। अग्रभूमिमा, एउटा बाँदर भित्तामा बसेर दृश्य हेरिरहेको छ। माथि आकाश बादल छ।""",TRUE,FALSE,FALSE,,,,,,,,,
 p_16," हरियो घाँसले ढाकिएका तीनवटा साना, गुम्बज आकारका प्यागोडाहरू एक पङ्क्तिमा उभिएका छन्। दायाँ, रातो र सेतो रंगको भवन अवस्थित छ। प्यागोडाको अगाडी एउटा सडकमा मानिसहरु हिँडिरहेका छन् । आकाश माथि बादल र बादल छ। प्यागोडाको पछाडि एउटा सानो रूख उभिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_17,"नदी किनारमा अवस्थित नेपालको पशुपतिनाथ मन्दिर। मन्दिरलाई प्यागोडा शैलीमा डिजाइन गरिएको हो, जुन नेपालमा सामान्य वास्तुकला शैली हो। मानिसहरू मन्दिर वरिपरि भेला हुन्छन्, गतिविधि वा घटना को केहि रूप को संकेत गर्दछ। पृष्ठभूमिमा, पावर लाइनहरू र भवनहरू देख्न सकिन्छ, जसले मन्दिर जनसंख्या भएको क्षेत्रमा अवस्थित छ भनेर सुझाव दिन्छ। छविमा आकाश नीलो छ जसमा बादल छरिएका छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_18," पशुपतिनाथमा धेरै मन्दिर र संरचनाहरू भएको मन्दिर परिसर। यी संरचनाहरू ढुङ्गाबाट बनेका छन् र जटिल नक्काशीहरू प्रदर्शन गर्छन्। संरचनाहरू आकारमा पिरामिड जस्तै छन्, प्रत्येक एक पोइन्ट शीर्षमा समाप्त हुन्छ। प्रत्येक संरचना यसको शिखरमा झण्डाले सजिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_19,"तस्बिरमा मन्दिर नजिकै रहेको निर्माण स्थल देखाइएको छ। निर्माण स्थल, जुन अग्रभूमिमा छ, धेरै स्तरहरू छन् र हरियो जालीले ढाकिएको छ। पृष्ठभूमिमा, धेरै गुम्बज र मालाहरू भएको मन्दिर देख्न सकिन्छ। फोरग्राउन्डमा फोहोर तैरिरहेको फोहोर खोला पनि देखिन्छ । आकाश सुन्तला र गुलाबी रंगको छ जसले सूर्यास्तको संकेत गर्दछ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_20," नेपालको एउटा मन्दिरको अगाडि अवस्थित एक देवताको ढुङ्गाको मुर्ति, जसमा धेरै हात र टाउको छ। मन्दिर, जुन मूर्तिको लागि पृष्ठभूमिको रूपमा काम गर्दछ, रातो इट्टाको अनुहार र एक छेउको छत छ, जसमा झण्डा फहराइएको छ। मूर्तिको वरिपरि साना ढुङ्गाका संरचनाहरू छन्, जसले दृश्यको आध्यात्मिक वातावरणमा थप्छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_21,"पशुपतिनाथ मन्दिर नजिकैको सहरको भीडभाड बजार। बजार एक वर्गमा अवस्थित छ, वरपर रातो इँटाबाट निर्मित बहु-तले भवनहरू छन्। बजारमा धेरै स्टलहरू छन्, प्रत्येकले बिक्रीको लागि विभिन्न रंगीन वस्तुहरू प्रदर्शन गर्दछ। मानिसहरु बजारको वरिपरि हिंडिरहेको देख्न सकिन्छ, जीवन्त वातावरण थप्दै। छविमा आकाश नीलो छ, जसले घमाइलो दिनको सुझाव दिन्छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_22," धेरै भवनहरू भएको मन्दिर परिसर, परम्परागत नेपाली वास्तुकलामा डिजाइन गरिएको, टायर्ड छाना र अलंकृत सजावटहरूद्वारा विशेषता। एउटा नदी परिसरमा बग्छ, यसको किनारहरू ढुङ्गाको पर्खालहरूले भरिएको छ। मानिसहरु पुलमा हिंडिरहेको देख्न सकिन्छ, छविमा आकाश नीलो छ, स्पष्ट दिन सुझाव दिन्छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_23,"छविले मन्दिर परिसरलाई धेरै सेतो संरचनाहरू प्रस्तुत गर्दछ। यी संरचनाहरू अलंकृत सजावटले सजिएका छन् र मूर्तिहरूले माथि छन्। संरचनाहरू आकार र आकारमा भिन्न हुन्छन्, थोरै व्यक्तिहरू सिँढीमा उभिएको देख्न सकिन्छ। अग्रभूमिमा, रंगीन लुगाहरू लाइनमा झुण्डिएका छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_24," कम्प्लेक्समा परम्परागत नेपाली वास्तुकलामा डिजाइन गरिएका धेरै भवन र संरचनाहरू छन्। यी भवनहरूमा सुनको छानासहित रातो र सेतो पर्खालहरू छन्। मुख्य भवन दुई तले संरचना हो, जसलाई सुनको छाना र दोस्रो तलामा एउटा बालकनी छ। कम्प्लेक्स वरिपरि छरिएका साना संरचनाहरू छन्, प्रत्येक सुनौलो छानाले माथि छ। कम्प्लेक्स वरिपरि मानिसहरु हिँडिरहेको देख्न सकिन्छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_25,"धेरै भवन र संरचना भएको मन्दिर परिसर। यी भवनहरू सेतो, रातो र सुनको उच्चारणले सजिएका छन्। छविमा आकाश नीलो छ, केही बादलहरूसँग छरिएको छ। मन्दिर परिसर रूखहरूको बीचमा छ, शान्त वातावरणको सुझाव दिन्छ। कम्प्लेक्स पहाडमा अवस्थित देखिन्छ, संरचनाहरूको लागि उपयुक्त बिन्दु प्रदान गर्दछ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_26," कम्प्लेक्समा परम्परागत नेपाली वास्तुकलामा डिजाइन गरिएको, प्यागोडा शैलीको छानाले चित्रण गरिएका धेरै भवन र संरचनाहरू समावेश छन्। भवनहरू सेतो र रातो रङले रंगिएका छन्, मानिसहरू मन्दिरको छानामुनि बसिरहेका छन्। मन्दिर परिसर ढुङ्गाको पर्खालले घेरिएको छ, प्रवेश द्वारको साथ। अग्रभूमिमा, एउटा नदी देखिन्छ, जसमाथि रातो पर्खालको पुल अवस्थित छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_27,"कम्प्लेक्समा रूखहरू र पहाडहरूको बीचमा परम्परागत नेपाली वास्तुकलामा डिजाइन गरिएका धेरै भवनहरू छन्। एउटा मानिस भवनको सिँढीमा बसिरहेको छ, अरूहरू कम्प्लेक्सको वरिपरि हिंडिरहेका छन्। चाखलाग्दो कुरा के छ भने, मूर्तिमा गाईहरू पनि उपस्थित छन्, मन्दिर परिसर वरिपरि घुमिरहेका छन्। फोटो दिनको समयमा लिइएको थियो, सफा निलो आकाश मुनि।",TRUE,FALSE,FALSE,,,,,,,,,
 p_28, मन्दिरको आँगन ढुङ्गाले पक्की र धेरै स्तम्भहरूले सजिएको। आँगनको बीचमा एउटा गोरुको ठूलो सुनको मूर्ति छ। रातो कपडा लगाएकी एउटी महिला आँगनमा घुमिरहेकी छन् र अरू पनि। पृष्ठभूमिमा देखिने मन्दिरका भवनहरू रातो र सुनको उच्चारणका साथ पहेँलो रङका छन्। मन्दिरका भवनहरूमा झण्डा र ब्यानरहरू झुण्डिएका छन्। आँगनमा जमिनमा परेवाहरू देख्न सकिन्छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_29,"धेरै भवन र संरचना भएको मन्दिर परिसरको हवाई दृश्य। मुख्य मन्दिर, यसको सुनौलो छाना र अग्लो स्पायर द्वारा प्रतिष्ठित, रातो उच्चारण संग सेतो रंग छ। परिसरमा धेरै साना तीर्थस्थलहरू र संरचनाहरू पनि समावेश छन्, दृश्यको विविधतामा थप्दै। मन्दिर रूखहरू र अन्य भवनहरूको बीचमा छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_30," रूखहरूले घेरिएको मन्दिर परिसर जहाँ मानिसहरू पशुपतिनाथ ढोकाको अगाडि हिँडिरहेका छन्। कम्प्लेक्समा परम्परागत वास्तुकलामा डिजाइन गरिएका धेरै भवनहरू छन्। आकाश बादल छ। कम्प्लेक्स सडक बत्तीहरूले राम्रोसँग उज्यालो छ, वातावरण थपिएको छ। कम्प्लेक्स भित्रको जग्गा टाईल्सले पक्की गरिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_31, यो सुनको छाना र पृष्ठभूमिमा रूख भएको मन्दिरको छवि हो। मन्दिर पहाडी क्षेत्रमा छ र नजिकै रातो पहिरनमा एक व्यक्ति बसेका छन्। मन्दिरमा सेतो आधार र सुनको छाना छ। मन्दिर साना सेतो संरचनाहरूले घेरिएको छ,TRUE,FALSE,FALSE,,,,,,,,,
 p_32,"शहरमा परम्परागत र आधुनिक भवनहरूको मिश्रण छ। केही भवनहरू रातो र सेतो छन्, जबकि अरू खैरो र खैरो छन्। सहरमा सुनको छाना भएका धेरै मन्दिरहरू छन्। मन्दिरहरू सेतो पर्खालहरूले घेरिएका छन् र छानाहरू छन्। सहरमा धेरै रुखहरू पनि छन्। रूखहरू हरियो छन् र भवनहरूको विपरीत प्रदान गर्दछ। आकाश नीलो र धुलो छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_33," मन्दिरमा सुनौलो छाना छ जुन बाँकी भवनहरू भन्दा फरक छ र यसको छानाको माथिल्लो भागमा एउटा टुक्रा छ। मन्दिर सेतो पर्खालले घेरिएको छ र यसको अगाडि एउटा ढोका छ। भवनहरू प्राय: रातो र सेतो छन्, र विभिन्न आकार र आकारहरू छन्। पहाडहरू हरियो र खैरो छन्, र तिनीहरूका चुचुराहरूमा हिउँ छ। आकाश बादल र खैरो छ",TRUE,FALSE,FALSE,,,,,,,,,
 p_34, मन्दिर परिसरमा धेरै भवनहरू र संरचनाहरू छन् जुन प्रायः सेतो र रातो र सुनको उच्चारणको साथ छ र यसको छानाको शीर्षमा स्पायर पनि छ। यो रूख र अन्य वनस्पति द्वारा घेरिएको छ। आकाश निलो छ र पृष्ठभूमिमा पहाडहरू छन्।,TRUE,FALSE,FALSE,,,,,,,,,
p_35," दुई मन्दिर परिसरहरू बीच एउटा नदी बगिरहेको छ, र नदीको माथि एउटा पुल अवस्थित छ। मन्दिरहरूमा प्रायः सुनको छाना र छानाहरूमा कालाहरू छन्। त्यहाँ एउटा सानो सेतो प्यागोडा शैलीको गुम्बज आकारको भवन छ। मन्दिर परिसर रूख र पहाडले घेरिएको छ। नदी किनारबाट धुवाँ निस्किरहेको छ ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_36, यो नेपालको मन्दिर र रातो भवनको तस्बिर हो। मन्दिर सेतो छ र माथि गुम्बज छ। रातो भवन दुई तले छ र यसमा पहेंलो चिन्ह छ। आकाश नीलो छ र त्यहाँ बादलहरू छन् घामको दिन संकेत गर्दछ। अग्रभूमिमा इट्टाको पर्खाल छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_37,"यो रातमा मन्दिर परिसरको छवि हो, धेरै भवनहरू र संरचनाहरू छन् जुन विभिन्न आकार र शैलीका छन् जुन बत्तीहरूले उज्यालो हुन्छन्। मन्दिर परिसर वरिपरि मानिसहरू भेला हुन्छन्, तिनीहरूमध्ये कोही परम्परागत लुगा लगाएका थिए र कोही मैनबत्ती बोकेका थिए। त्यहाँ भवनहरूमा झण्डा र ब्यानरहरू झुण्डिएका छन्, तीमध्ये कुनैमा धार्मिक प्रतीकहरू र तीमध्ये केही सन्देशहरू छन्। अग्रभूमिमा रातो कार्पेटको साथ एउटा स्टेज छ, जहाँ कुनै समारोह वा प्रदर्शन भइरहेको हुन सक्छ। तस्विरमा बिजुलीका तार र पोल देखिन्छन्, जसले सहरको आधुनिकीकरण झल्काउँछ ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_38,"मन्दिर परिसरमा सेतो स्तूपहरू छन् जसमा सुनको मालाहरू छन् जुन गुम्बज आकारको संरचनाहरू हुन् जुन ध्यान र पूजाको लागि प्रयोग गरिन्छ। यसमा निलो, पहेंलो र रातोमा प्रार्थना झण्डाहरू पनि छन्। शहरमा विभिन्न रङ र आकारका धेरै भवन र घरहरू छन्। सेतो बादलले आकाश निलो छ। खोलाको किनारमा हिँड्ने मानिसहरु छन् । मन्दिर परिसरमा ढुङ्गाका पाइलाहरू र ढुङ्गाको बाटो छ जुन स्तूपहरूमा जान्छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_39, धेरै भवनहरू भएको मन्दिर परिसर र अग्रभूमिमा एउटा नदी जसमा परम्परागत नेपाली वास्तुकलासहितको रातो भवनहरू छन्। भवनहरूमा पोइन्ट छाना र नक्काशीदार झ्यालहरू छन्। नदी अग्रभूमिमा छ र चट्टान र ढुङ्गाहरू देखिने गरी उथले जस्तो देखिन्छ। मन्दिर परिसर रुख र पहाडले घेरिएको छ। एउटा भवनबाट धुवाँ निस्किरहेको छ ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_40,मन्दिर परिसरको एक हवाई दृश्य सुनको छाना र धेरै भवन र आंगनले घेरिएको सुनको मालाहरू छन्। भवनहरू विभिन्न आकार र आकारका छन् जसमा रातो छाना र सेतो पर्खालहरू छन्। आँगनहरूमा रूखहरू र झाडीहरू छन्।,TRUE,FALSE,FALSE,,,,,,,,,
 p_41," यो अग्रभूमिमा सुनको मूर्ति भएको मन्दिरको छवि हो। मन्दिरमा बहु-टायर छाना छ जसको शीर्षमा स्पायर छ। मूर्ति गोलो, सुनौलो आकृतिको पोइन्टेड टोपीको छ। मानिसहरू मन्दिर र मूर्तिको वरिपरि घुमिरहेका छन्। आकाश निलो छ र पृष्ठभूमिमा रूखहरू छन्। छवि स्पष्ट छ र धेरै विवरण र रंगहरू छन्।",TRUE,FALSE,FALSE,,,,,,,,,
 p_42," मानिसहरू बेन्चमा बसेर मन्दिर परिसरलाई हेरिरहेका छन्। कम्प्लेक्समा दुईवटा कथाहरू छन् जुन विभिन्न आकार र शैलीका छन्, जसमा प्रायः रातो छाना र माथि सुनौलो स्पियरहरू छन्। कम्प्लेक्स रूखहरू र पहाडहरूले घेरिएको छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_43,यो सुनको छाना र रंगीन सजावट भएको मन्दिरको चित्र हो। मन्दिरमा सुनको छाना छ जसको माथि सूर्यको प्रतीक छ। मन्दिरको भित्ता र स्तम्भहरूमा रंगीन सजावट गरिएको छ। मन्दिर अन्य भवनहरू र मानिसहरू हिंड्ने सडकले घेरिएको छ। अग्रभूमिमा एउटा ल्याम्पपोस्ट छ जसको माथि चरा बसेको छ। आकाश केहि बादल संग निलो छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_44," अग्रभूमिमा नदी र पृष्ठभूमिमा ताडका रूखहरू भएको मन्दिर परिसर जुन सेतो गुम्बजसहित रातो रङको छ। नदी अग्रभूमिमा छ र ठोस पाइलाहरू संग लाइन गरिएको छ। आकाश सेतो बादलले निलो छ। छविले नेपालको सांस्कृतिक र प्राकृतिक विविधता, साथै यसको वास्तुकलाको सौन्दर्य देखाउँछ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_45,धेरै मन्दिर र रूखहरू भएको मन्दिर परिसर। मन्दिर परिसरमा ढुङ्गाका तीर्थहरू छन् जसको छाना छ। मन्दिरहरू विभिन्न आकार र आकारका छन्। रूखहरू पातविहीन छन् र पुराना देखिन्छन्। त्यहाँ ढुङ्गा वरिपरि वालिक छविमा मानिसहरू देखिन्छन्। पृष्ठभूमिमा रातो भवन र धुलो आकाश समावेश छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_46, यो अग्रभूमिमा पोखरी र पृष्ठभूमिमा मन्दिर भएको मन्दिर परिसरको छवि हो। मन्दिर परिसर पहेंलो गुम्बज र रातो झण्डा सहित सेतो रंगको छ। मन्दिर परिसरमा धेरै तहहरू छन् र पहाडमा बनेको छ। अग्रभूमिमा पोखरी हो जसको वरिपरि मानिसहरू हिंड्छन्। पृष्ठभूमिमा पहेंलो गुम्बज र रातो झण्डा भएको मन्दिर समावेश छ। पृष्ठभूमिमा रूखहरू र अन्य भवनहरू पनि समावेश छन्।,TRUE,FALSE,FALSE,,,,,,,,,
 p_47,"पृष्ठभूमिमा भवनहरू र रूखहरू भएको सहरको मन्दिर परिसर जसमा परम्परागत वास्तुकला र सुनौलो छाना भएका बहुविध भवनहरू, गुम्बजको छानासहितको सेतो संरचनाहरू छन्। मन्दिर परिसरमा धेरै मूर्तिहरू र तीर्थहरू छन्। आकाश निलो छ र पृष्ठभूमिमा धुवाँको ठूलो प्वाल भएको रूख छ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_48, मन्दिर पृष्ठभूमिमा रूखहरू भएको पहाडी क्षेत्रमा अवस्थित छ। मन्दिरको माथि सेतो गुम्बज भएको सानो प्रवेशद्वार छ। मन्दिरको अगाडिको छेउमा तीनवटा कमानीदार झ्यालहरू छन्। मन्दिरको माथिल्लो भागमा झण्डासहित ठूलो गुम्बज छ। आकाश बादल छ र पानी परिरहेको देखिन्छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_49, यो छाना र भित्ताहरूमा जटिल काठको नक्काशी भएको मन्दिरको छवि हो। मन्दिर रातो इट्टाले बनेको छ र कालो छाना छ। छतमा सुनको पट्टिका लगाइएको छ। भित्ताहरूमा देवताहरूको काष्ठको नक्काशी गरिएको छ। मन्दिरको तीनवटा ढोकामा काठको नक्काशी गरिएको छ। मन्दिर उकालो मञ्चमा छ जसमा पुग्ने पाइलाहरू छन्,TRUE,FALSE,FALSE,,,,,,,,,
 p_50,प्यागोडाको छानाको मन्दिरमा सुनको रंगको हरियो छाना छ। मन्दिरलाई रातो छानासहितको सेतो पर्खालले घेरिएको छ। मन्दिर मानिसहरु हिड्ने व्यस्त सडकमा अवस्थित छ। पृष्ठभूमिमा बादलसहितको नीलो आकाश हुन्छ। मन्दिर पृष्ठभूमिमा भवनहरु संग एक शहर मा स्थित छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_51," धेरै भवन र संरचना भएको मन्दिर परिसर। मुख्य भवन सुनको छाना र रातो र सेतो पर्खालहरू भएको दुई तले मन्दिर हो। मुख्य मन्दिरको अगाडि साना संरचनाहरू छन्, जसमा एउटा मन्दिर र पहेंलो झण्डा भएको झण्डा पोलहरू छन्। मन्दिर परिसर ढुङ्गाको फुटपाथको साथ आँगनले घेरिएको छ। आकाश नीलो छ घामको दिन संकेत गर्दछ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_52,"पशुपतिनाथ क्षेत्र भित्रको सडक, तराई र दुबै छेउमा भवनहरू। सडक इँटाले पक्की गरिएको छ र पहेंलो आर्चवे छ। सडकको दुबै छेउमा भवनहरु छन् । भवनहरू इट्टाले बनेका छन् र बालकनीहरू छन्। त्यहाँ सडक बत्ती र पृष्ठभूमिमा निलो आकाश छ। सडकमा मानिसहरु हिडिरहेका छन् ।",TRUE,FALSE,FALSE,,,,,,,,,
 p_53," जटिल नक्काशीको साथ पुरानो ढुङ्गाको आर्चवे। आर्चवे ढुङ्गाले बनेको छ र एक मौसमी उपस्थिति छ। आर्चवे अनुहार, जनावर र अन्य डिजाइनको नक्काशीले सजाइएको छ। आर्चवेले अँध्यारो बाटोमा जान्छ। तस्बिर तल्लो कोणबाट लिइएको हो, आर्चवे माथि हेर्दै।",TRUE,FALSE,FALSE,,,,,,,,,
 p_54, काठमाडौंमा अवस्थित पशुपतिनाथ मन्दिर परिसर। मन्दिर परिसरमा सुनको छाना र गुम्बज आकारको सेतो स्तूप भएका धेरै भवनहरू छन्। मन्दिर परिसर हरियो रूखहरूले घेरिएको छ र शान्त वातावरण छ।,TRUE,FALSE,FALSE,,,,,,,,,
 p_55,मन्दिर हिन्दू धर्मको लागि एक धार्मिक स्थल हो। मन्दिरमा दुई तलाको प्यागोडा शैलीको वास्तुकला छ। मन्दिरको छाना रातो र पर्खाल सेतो रंगको छ जसको छाना र झ्यालमा सुनको सजावट रहेको छ। मन्दिर वरिपरि रूख र अन्य भवनहरूले घेरिएको छ। मन्दिरको छत र रूखहरूमा झुण्डिएका रङ्गीन प्रार्थना झण्डाहरू छन्।,TRUE,FALSE,FALSE,,,,,,,,,
 p_56, छविमा पुरातन ढुङ्गाका मन्दिरहरूको श्रृंखला छ। यी मन्दिरहरू जटिल नक्काशीले सजिएका छन्। प्रत्येक मन्दिरमा गुम्बजको छाना छ। मन्दिरहरू हरियालीको बीचमा अवस्थित छन्। मन्दिरहरू माथिको आकाश बादलले भरिएको छ,TRUE,FALSE,FALSE,,,,,,,,,
